provider_admin1_name,provider_admin2_name,liv_name,adm1_final,adm1_1_final,adm2_final,adm2_1_final,lz_code1,lz_code2,lz_code3,Plotting_Level
pétion ville,pv3 ouest ht07,Petion-Ville 3,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
sud,,South,South,South,,,,,,2
sud,sud ht01,South HT01,South,South,,,HT01,HT01,HT01,3
sud,sud ht07,South HT07,South,South,,,HT07,HT07,HT07,3
sud,sud ht08,South HT08,South,South,,,HT08,HT08,HT08,3
sud,ville des cayes,Les Cayes,South,South,Les Cayes,Les Cayes,HT07,HT07,HT07,4
sud est,,South-East,South-East,South-East,,,,,,2
sud est,sud est ht01,South-East HT01,South-East,South-East,,,HT01,HT01,HT01,3
sud est,sud est ht07,South-East HT07,South-East,South-East,,,HT07,HT07,HT07,3
tabarre,,Tabarre,West,West,Tabarre,Tabarre,HT07,HT07,HT07,4
tabarre,ta1 ta2 ouest ht07,Tabarre HT07,West,West,Tabarre,Tabarre,HT07,HT07,HT07,4
tabarre,ta3 ouest ht07,Tabarre HT07,West,West,Tabarre,Tabarre,HT07,HT07,HT07,4
tabarre,tabarre p tp,Tabarre P_TP,West,West,Tabarre,Tabarre,HT07,HT07,HT07,4
zmpap,,ZMPAP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,camp de deplacement,ZMPAP Camp de deplacement,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,carrefour p tp,ZMPAP Carrefour_P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,cite soleil p tp,ZMPAP Cite Soleil P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,croix de bouquet p tp,ZMPAP Croix de Bouquet P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,delmas p tp,ZMPAP Delmas P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,petion ville p tp,Petion-Ville P_TP,West,West,Petion-Ville,Petion-Ville,HT07,HT07,HT07,4
zmpap,port au prince p tp,Port-au-Prince P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zmpap,tabarre p tp,Tabarre P_TP,West,West,Tabarre,Tabarre,HT07,HT07,HT07,4
zone métropolitaine,,ZMPAP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,carrefour p tp,Zone Métropolitaine Carrefour P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,cite soleil p tp,Zone Métropolitaine Cite Soleil P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,croix des bouquets p tp,ZMPAP Croix de Bouquet P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,delmas p tp,Zone Métropolitaine Delmas P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,petion ville p tp,Zone Métropolitaine Petion Ville P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,port au prince p tp,Port-au-Prince P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
zone métropolitaine,tabarre p tp,Zone Métropolitaine Tabarre P_TP,West,West,Port-au-Prince,Port-au-Prince,HT09,HT09,HT09,4
